,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first,Name,keyname
191,santibe01,2002,0,NLS200207090,SFN,NL,1,,santiago,benito,benito santiago,benito santiago2002
192,sexsori01,2002,0,NLS200207090,MIL,NL,1,,sexson,richie,richie sexson,richie sexson2002
194,spiveju01,2002,0,NLS200207090,ARI,NL,1,,spivey,junior,junior spivey,junior spivey2002
197,posadjo01,2003,0,ALS200307150,NYA,AL,1,2,posada,jorge,jorge posada,jorge posada2003
198,delgaca01,2003,0,ALS200307150,TOR,AL,1,3,delgado,carlos,carlos delgado,carlos delgado2003
199,soriaal01,2003,0,ALS200307150,NYA,AL,1,4,soriano,alfonso,alfonso soriano,alfonso soriano2003
200,glaustr01,2003,0,ALS200307150,LAA,AL,1,5,glaus,troy,troy glaus,troy glaus2003
201,rodrial01,2003,0,ALS200307150,TEX,AL,1,6,rodriguez,alex,alex rodriguez,alex rodriguez2003
202,anderga01,2003,0,ALS200307150,LAA,AL,1,7,anderson,garret,garret anderson,garret anderson2003
203,matsuhi01,2003,0,ALS200307150,NYA,AL,1,8,matsui,hideki,hideki matsui,hideki matsui2003
204,suzukic01,2003,0,ALS200307150,SEA,AL,1,9,suzuki,ichiro,ichiro suzuki,ichiro suzuki2003
205,martied01,2003,0,ALS200307150,SEA,AL,1,10,martinez,edgar,edgar martinez,edgar martinez2003
206,blaloha01,2003,0,ALS200307150,TEX,AL,1,,blalock,hank,hank blalock,hank blalock2003
207,boonebr01,2003,0,ALS200307150,SEA,AL,1,,boone,bret,bret boone,bret boone2003
211,evereca01,2003,0,ALS200307150,CHA,AL,1,,everett,carl,carl everett,carl everett2003
213,garcino01,2003,0,ALS200307150,BOS,AL,1,,garciaparra,nomar,nomar garciaparra,nomar garciaparra2003
214,giambja01,2003,0,ALS200307150,NYA,AL,1,,giambi,jason,jason giambi,jason giambi2003
218,hernara02,2003,0,ALS200307150,OAK,AL,1,,hernandez,ramon,ramon hernandez,ramon hernandez2003
220,morame01,2003,0,ALS200307150,BAL,AL,1,,mora,melvin,melvin mora,melvin mora2003
223,ordonma01,2003,0,ALS200307150,CHA,AL,1,,ordonez,magglio,magglio ordonez,magglio ordonez2003
224,ramirma02,2003,0,ALS200307150,BOS,AL,0,,ramirez,manny,manny ramirez,manny ramirez2003
225,sabatcc01,2003,0,ALS200307150,CLE,AL,0,,,,,2003
226,sweenmi01,2003,0,ALS200307150,KCA,AL,0,,sweeney,mike,mike sweeney,mike sweeney2003
227,varitja01,2003,0,ALS200307150,BOS,AL,0,,varitek,jason,jason varitek,jason varitek2003
228,wellsve01,2003,0,ALS200307150,TOR,AL,1,,wells,vernon,vernon wells,vernon wells2003
229,youngdm01,2003,0,ALS200307150,DET,AL,0,,young,dmitri,dmitri young,dmitri young2003
232,lopezja01,2003,0,ALS200307150,ATL,NL,1,2,lopez,javy,javy lopez,javy lopez2003
233,heltoto01,2003,0,ALS200307150,COL,NL,1,3,helton,todd,todd helton,todd helton2003
234,vidrojo01,2003,0,ALS200307150,MON,NL,1,4,vidro,jose,jose vidro,jose vidro2003
235,rolensc01,2003,0,ALS200307150,SLN,NL,1,5,rolen,scott,scott rolen,scott rolen2003
236,renteed01,2003,0,ALS200307150,SLN,NL,1,6,renteria,edgar,edgar renteria,edgar renteria2003
237,pujolal01,2003,0,ALS200307150,SLN,NL,1,7,pujols,albert,albert pujols,albert pujols2003
238,edmonji01,2003,0,ALS200307150,SLN,NL,1,8,edmonds,jim,jim edmonds,jim edmonds2003
239,sheffga01,2003,0,ALS200307150,ATL,NL,1,9,sheffield,gary,gary sheffield,gary sheffield2003
240,bondsba01,2003,0,ALS200307150,SFN,NL,1,10,bonds,barry,barry bonds,barry bonds2003
242,booneaa01,2003,0,ALS200307150,CIN,NL,1,,boone,aaron,aaron boone,aaron boone2003
244,castilu01,2003,0,ALS200307150,FLO,NL,1,,castillo,luis,luis castillo,luis castillo2003
246,furcara01,2003,0,ALS200307150,ATL,NL,1,,,,,2003
248,gilesma01,2003,0,ALS200307150,ATL,NL,0,,giles,marcus,marcus giles,marcus giles2003
249,gonzalu01,2003,0,ALS200307150,ARI,NL,1,,gonzalez,luis,luis gonzalez,luis gonzalez2003
250,jenkige01,2003,0,ALS200307150,MIL,NL,0,,jenkins,geoff,geoff jenkins,geoff jenkins2003
251,jonesan01,2003,0,ALS200307150,ATL,NL,1,,jones,andruw,andruw jones,andruw jones2003
252,loducpa01,2003,0,ALS200307150,LAN,NL,1,,lo duca,paul,paul lo duca,paul lo duca2003
253,lowelmi01,2003,0,ALS200307150,FLO,NL,1,,lowell,mike,mike lowell,mike lowell2003
256,sexsori01,2003,0,ALS200307150,MIL,NL,1,,sexson,richie,richie sexson,richie sexson2003
259,whitero02,2003,0,ALS200307150,SDN,NL,1,,white,rondell,rondell white,rondell white2003
263,wilsopr01,2003,0,ALS200307150,COL,NL,1,,wilson,preston,preston wilson,preston wilson2003
267,rodriiv01,2004,0,NLS200407130,DET,AL,1,2,rodriguez,ivan,ivan rodriguez,ivan rodriguez2004
268,giambja01,2004,0,NLS200407130,NYA,AL,1,3,giambi,jason,jason giambi,jason giambi2004
269,soriaal01,2004,0,NLS200407130,TEX,AL,1,4,soriano,alfonso,alfonso soriano,alfonso soriano2004
270,rodrial01,2004,0,NLS200407130,NYA,AL,1,5,rodriguez,alex,alex rodriguez,alex rodriguez2004
271,jeterde01,2004,0,NLS200407130,NYA,AL,1,6,jeter,derek,derek jeter,derek jeter2004
272,ramirma02,2004,0,NLS200407130,BOS,AL,1,7,ramirez,manny,manny ramirez,manny ramirez2004
273,suzukic01,2004,0,NLS200407130,SEA,AL,1,8,suzuki,ichiro,ichiro suzuki,ichiro suzuki2004
274,guerrvl01,2004,0,NLS200407130,LAA,AL,1,9,guerrero,vladimir,vladimir guerrero,vladimir guerrero2004
275,belliro01,2004,0,NLS200407130,CLE,AL,1,,belliard,ronnie,ronnie belliard,ronnie belliard2004
276,blaloha01,2004,0,NLS200407130,TEX,AL,1,,blalock,hank,hank blalock,hank blalock2004
278,crawfca02,2004,0,NLS200407130,TBA,AL,1,,crawford,carl,carl crawford,carl crawford2004
280,guillca01,2004,0,NLS200407130,DET,AL,0,,guillen,carlos,carlos guillen,carlos guillen2004
281,harveke01,2004,0,NLS200407130,KCA,AL,1,,harvey,ken,ken harvey,ken harvey2004
283,lawtoma02,2004,0,NLS200407130,CLE,AL,1,,lawton,matt,matt lawton,matt lawton2004
286,martivi01,2004,0,NLS200407130,CLE,AL,1,,martinez,victor,victor martinez,victor martinez2004
287,matsuhi01,2004,0,NLS200407130,NYA,AL,1,,matsui,hideki,hideki matsui,hideki matsui2004
289,ortizda01,2004,0,NLS200407130,BOS,AL,1,,ortiz,david,david ortiz,david ortiz2004
293,sabatcc01,2004,0,NLS200407130,CLE,AL,1,,,,,2004
295,sheffga01,2004,0,NLS200407130,NYA,AL,1,,sheffield,gary,gary sheffield,gary sheffield2004
296,tejadmi01,2004,0,NLS200407130,BAL,AL,1,,tejada,miguel,miguel tejada,miguel tejada2004
299,youngmi02,2004,0,NLS200407130,TEX,AL,1,,young,michael,michael young,michael young2004
301,piazzmi01,2004,0,NLS200407130,NYN,NL,1,2,piazza,mike,mike piazza,mike piazza2004
302,pujolal01,2004,0,NLS200407130,SLN,NL,1,3,pujols,albert,albert pujols,albert pujols2004
303,kentje01,2004,0,NLS200407130,HOU,NL,1,4,kent,jeff,jeff kent,jeff kent2004
304,rolensc01,2004,0,NLS200407130,SLN,NL,1,5,rolen,scott,scott rolen,scott rolen2004
305,renteed01,2004,0,NLS200407130,SLN,NL,1,6,renteria,edgar,edgar renteria,edgar renteria2004
306,bondsba01,2004,0,NLS200407130,SFN,NL,1,7,bonds,barry,barry bonds,barry bonds2004
307,berkmla01,2004,0,NLS200407130,HOU,NL,1,8,berkman,lance,lance berkman,lance berkman2004
308,sosasa01,2004,0,NLS200407130,CHN,NL,1,9,sosa,sammy,sammy sosa,sammy sosa2004
309,abreubo01,2004,0,NLS200407130,PHI,NL,1,,abreu,bobby,bobby abreu,bobby abreu2004
310,aloumo01,2004,0,NLS200407130,CHN,NL,1,,alou,moises,moises alou,moises alou2004
311,beltrca01,2004,0,NLS200407130,HOU,NL,1,,beltran,carlos,carlos beltran,carlos beltran2004
313,cabremi01,2004,0,NLS200407130,FLO,NL,1,,cabrera,miguel,miguel cabrera,miguel cabrera2004
314,caseyse01,2004,0,NLS200407130,CIN,NL,0,,casey,sean,sean casey,sean casey2004
315,estrajo01,2004,0,NLS200407130,ATL,NL,1,,estrada,johnny,johnny estrada,johnny estrada2004
319,griffke02,2004,0,NLS200407130,CIN,NL,0,,griffey,ken,ken griffey,ken griffey2004
320,heltoto01,2004,0,NLS200407130,COL,NL,1,,helton,todd,todd helton,todd helton2004
323,kolbda01,2004,0,NLS200407130,MIL,NL,1,,kolb,danny,danny kolb,danny kolb2004
324,larkiba01,2004,0,NLS200407130,CIN,NL,1,,larkin,barry,barry larkin,barry larkin2004
325,loducpa01,2004,0,NLS200407130,LAN,NL,1,,lo duca,paul,paul lo duca,paul lo duca2004
326,loretma01,2004,0,NLS200407130,SDN,NL,1,,loretta,mark,mark loretta,mark loretta2004
327,lowelmi01,2004,0,NLS200407130,FLO,NL,1,,lowell,mike,mike lowell,mike lowell2004
331,thomeji01,2004,0,NLS200407130,PHI,NL,1,,thome,jim,jim thome,jim thome2004
332,wilsoja02,2004,0,NLS200407130,PIT,NL,1,,wilson,jack,jack wilson,jack wilson2004
335,varitja01,2005,0,ALS200507120,BOS,AL,1,2,varitek,jason,jason varitek,jason varitek2005
336,teixema01,2005,0,ALS200507120,TEX,AL,1,3,teixeira,mark,mark teixeira,mark teixeira2005
337,roberbr01,2005,0,ALS200507120,BAL,AL,1,4,roberts,brian,brian roberts,brian roberts2005
338,rodrial01,2005,0,ALS200507120,NYA,AL,1,5,rodriguez,alex,alex rodriguez,alex rodriguez2005
339,tejadmi01,2005,0,ALS200507120,BAL,AL,1,6,tejada,miguel,miguel tejada,miguel tejada2005
340,ramirma02,2005,0,ALS200507120,BOS,AL,1,7,ramirez,manny,manny ramirez,manny ramirez2005
341,damonjo01,2005,0,ALS200507120,BOS,AL,1,8,damon,johnny,johnny damon,johnny damon2005
342,guerrvl01,2005,0,ALS200507120,LAA,AL,1,9,guerrero,vladimir,vladimir guerrero,vladimir guerrero2005
343,ortizda01,2005,0,ALS200507120,BOS,AL,1,10,ortiz,david,david ortiz,david ortiz2005
344,anderga01,2005,0,ALS200507120,LAA,AL,1,,anderson,garret,garret anderson,garret anderson2005
351,hillesh02,2005,0,ALS200507120,TOR,AL,1,,hillenbrand,shea,shea hillenbrand,shea hillenbrand2005
352,konerpa01,2005,0,ALS200507120,CHA,AL,1,,konerko,paul,paul konerko,paul konerko2005
353,morame01,2005,0,ALS200507120,BAL,AL,1,,mora,melvin,melvin mora,melvin mora2005
355,podsesc01,2005,0,ALS200507120,CHA,AL,1,,podsednik,scott,scott podsednik,scott podsednik2005
357,rodriiv01,2005,0,ALS200507120,DET,AL,1,,rodriguez,ivan,ivan rodriguez,ivan rodriguez2005
359,ryanbj01,2005,0,ALS200507120,BAL,AL,1,,,,,2005
360,santajo01,2005,0,ALS200507120,MIN,AL,1,,,,,2005
361,sheffga01,2005,0,ALS200507120,NYA,AL,1,,sheffield,gary,gary sheffield,gary sheffield2005
362,soriaal01,2005,0,ALS200507120,TEX,AL,1,,soriano,alfonso,alfonso soriano,alfonso soriano2005
363,suzukic01,2005,0,ALS200507120,SEA,AL,1,,suzuki,ichiro,ichiro suzuki,ichiro suzuki2005
364,sweenmi01,2005,0,ALS200507120,KCA,AL,1,,sweeney,mike,mike sweeney,mike sweeney2005
366,youngmi02,2005,0,ALS200507120,TEX,AL,1,,young,michael,michael young,michael young2005
368,piazzmi01,2005,0,ALS200507120,NYN,NL,1,2,piazza,mike,mike piazza,mike piazza2005
369,leede02,2005,0,ALS200507120,CHN,NL,1,3,lee,derrek,derrek lee,derrek lee2005
370,kentje01,2005,0,ALS200507120,LAN,NL,1,4,kent,jeff,jeff kent,jeff kent2005
371,ramirar01,2005,0,ALS200507120,CHN,NL,1,5,ramirez,aramis,aramis ramirez,aramis ramirez2005
372,eckstda01,2005,0,ALS200507120,SLN,NL,1,6,eckstein,david,david eckstein,david eckstein2005
373,beltrca01,2005,0,ALS200507120,NYN,NL,1,7,beltran,carlos,carlos beltran,carlos beltran2005
374,edmonji01,2005,0,ALS200507120,SLN,NL,1,8,edmonds,jim,jim edmonds,jim edmonds2005
375,abreubo01,2005,0,ALS200507120,PHI,NL,1,9,abreu,bobby,bobby abreu,bobby abreu2005
376,pujolal01,2005,0,ALS200507120,SLN,NL,1,10,pujols,albert,albert pujols,albert pujols2005
377,aloumo01,2005,0,ALS200507120,SFN,NL,1,,alou,moises,moises alou,moises alou2005
378,bayja01,2005,0,ALS200507120,PIT,NL,0,,bay,jason,jason bay,jason bay2005
379,cabremi01,2005,0,ALS200507120,FLO,NL,1,,cabrera,miguel,miguel cabrera,miguel cabrera2005
380,castilu01,2005,0,ALS200507120,FLO,NL,1,,castillo,luis,luis castillo,luis castillo2005
383,ensbemo01,2005,0,ALS200507120,HOU,NL,1,,ensberg,morgan,morgan ensberg,morgan ensberg2005
385,gonzalu01,2005,0,ALS200507120,ARI,NL,1,,gonzalez,luis,luis gonzalez,luis gonzalez2005
388,izturce01,2005,0,ALS200507120,LAN,NL,0,,izturis,cesar,cesar izturis,cesar izturis2005
389,jonesan01,2005,0,ALS200507120,ATL,NL,1,,jones,andruw,andruw jones,andruw jones2005
390,leeca01,2005,0,ALS200507120,MIL,NL,1,,lee,carlos,carlos lee,carlos lee2005
392,loducpa01,2005,0,ALS200507120,FLO,NL,1,,lo duca,paul,paul lo duca,paul lo duca2005
393,lopezfe01,2005,0,ALS200507120,CIN,NL,1,,lopez,felipe,felipe lopez,felipe lopez2005
